Date,2014-12-25,
INDEX VALUE,1000.0000,
EFFECTIVE DATE,TICKER,NAME,ISIN,INDEX SHARES,PRICE,CURRENCY FACTOR,
2014-12-25,KJC IN Equity,Kajaria Ceramics Ltd.,INE217B01028,225.3894702000000,558,63.525000,
2014-12-25,SYML IN Equity,Symphony Ltd.,INE225D01027,67.3261487400000,1862.65,63.525000,
2014-12-25,SADE IN Equity,Sadbhav Engineering Ltd.,INE226H01026,504.0414040000000,247.05,63.525000,
2014-12-25,EIH IN Equity,EIH Ltd.,INE230A01023,1082.4285580000000,116,63.525000,
2014-12-25,KMB IN Equity,Kotak Mahindra Bank Ltd.,INE237A01028,101.5889528000000,1245.35,63.525000,
2014-12-25,AXSB IN Equity,Axis Bank Ltd.,INE238A01034,256.2809988000000,494.3,63.525000,
2014-12-25,NEST IN Equity,Nestlé India Ltd.,INE239A01016,20.3550345500000,6143.65,63.525000,
2014-12-25,IOCL IN Equity,Indian Oil Corp. Ltd.,INE242A01010,377.5424891000000,326.85,63.525000,
2014-12-25,ARCP IN Equity,Anant Raj Ltd.,INE242C01024,2816.2401870000000,44.4,63.525000,
2014-12-25,PEC IN Equity,Patel Engineering Ltd.,INE244B01030,1309.1001440000000,97.85,63.525000,
2014-12-25,TPWR IN Equity,Tata Power Co., Ltd.,INE245A01021,1554.2056420000000,81.2,63.525000,
2014-12-25,GVKP IN Equity,GVK Power & Infrastructure Ltd.,INE251H01024,14034.3687700000000,9,63.525000,
2014-12-25,BHEL IN Equity,Bharat Heavy Electricals Ltd.,INE257A01026,483.5370152000000,254.55,63.525000,
2014-12-25,CLGT IN Equity,Colgate-Palmolive (India) Ltd.,INE259A01022,70.7878904600000,1752.2,63.525000,
2014-12-25,PSYS IN Equity,Persistent Systems Ltd.,INE262H01013,78.8256243200000,1613.55,63.525000,
2014-12-25,ALOK IN Equity,Alok Industries Ltd.,INE270A01011,12748.2401100000000,9.95,63.525000,
2014-12-25,OINL IN Equity,Oil India Ltd.,INE274J01014,222.9089552000000,570.65,63.525000,
2014-12-25,TTAN IN Equity,Titan Co. Ltd.,INE280A01028,337.9337951000000,368.75,63.525000,
2014-12-25,SJET IN Equity,SpiceJet Ltd.,INE285B01017,7557.6107220000000,17.65,63.525000,
2014-12-25,EXID IN Equity,Exide Industries Ltd.,INE302A01020,749.9408484000000,170.25,63.525000,
2014-12-25,PIDI IN Equity,Pidilite Industries Ltd.,INE318A01026,250.6732771000000,500,63.525000,
2014-12-25,BYKE IN Equity,Byke Hospitality Ltd.,INE319B01014,849.0276087000000,148.25,63.525000,
2014-12-25,PVKP IN Equity,Puravankara Projects Ltd.,INE323I01011,1560.9146960000000,81.55,63.525000,
