Date,2014-12-25,
INDEX VALUE,1000.0000,
EFFECTIVE DATE,TICKER,NAME,ISIN,INDEX SHARES,PRICE,CURRENCY FACTOR,
2014-12-25,1766 HK Equity,CSR Corp. Ltd.,CNE100000BG0,1966.2783270000000,7.89,7.759900,
2014-12-25,2009 HK Equity,BBMG Corp.,CNE100000F20,2459.3345950000000,6.22,7.759900,
2014-12-25,916 HK Equity,China Longyuan Power Group Corp. Ltd.,CNE100000HD4,1956.9222700000000,7.86,7.759900,
2014-12-25,1988 HK Equity,China Minsheng Banking Corp., Ltd.,CNE100000HF9,1598.1870170000000,9.53,7.759900,
2014-12-25,1288 HK Equity,Agricultural Bank of China,CNE100000Q43,4051.8014710000000,3.8,7.759900,
2014-12-25,3618 HK Equity,Chongqing Rural Commercial Bank Co. Ltd.,CNE100000X44,3219.5848640000000,4.75,7.759900,
2014-12-25,1157 HK Equity,Zoomlion Heavy Industry Science & Technology Co. Ltd.,CNE100000X85,2751.4892090000000,5.51,7.759900,
2014-12-25,579 HK Equity,Beijing Jingneng Clean Energy Co. Ltd.,CNE100001336,5278.3665360000000,3.06,7.759900,
2014-12-25,2196 HK Equity,Shanghai Fosun Pharmaceutical (Group) Co., Ltd.,CNE100001M79,574.7555852000000,26.7,7.759900,
2014-12-25,1339 HK Equity,People's Insurance Co. (Group) of China Ltd.,CNE100001MK7,4263.2969570000000,3.55,7.759900,
2014-12-25,2386 HK Equity,SINOPEC Engineering (Group) Co., Ltd.,CNE100001NV2,2916.9924580000000,5.28,7.759900,
2014-12-25,762 HK Equity,China Unicom (Hong Kong) Ltd.,HK0000049939,1469.5455060000000,10.44,7.759900,
2014-12-25,2380 HK Equity,China Power International Development Ltd.,HK2380027329,4020.3106090000000,3.83,7.759900,
2014-12-25,2007 HK Equity,Country Garden Holdings Co. Ltd.,KYG245241032,5225.0507740000000,2.98,7.759900,
2014-12-25,3333 HK Equity,Evergrande Real Estate Group Ltd.,KYG3225A1031,5038.4420530000000,3.1,7.759900,
2014-12-25,1833 HK Equity,Intime Retail (Group) Co. Ltd.,KYG4922U1031,2791.0792080000000,5.74,7.759900,
2014-12-25,1813 HK Equity,KWG Property Holding Ltd.,KYG532241042,3091.3148120000000,5.01,7.759900,
2014-12-25,960 HK Equity,Longfor Properties Co. Ltd.,KYG5635P1090,1630.0835170000000,9.63,7.759900,
2014-12-25,410 HK Equity,SOHO China Ltd.,KYG826001003,2879.1096410000000,5.37,7.759900,
