Date,2014-12-31,
Name,Code,Market Value,Index value,
Testing 4,ITI4TR,103233.49112,1043.17,
Testing 20,IT20I,104714.007241,1046.81,
Testing 1,IT1I,102727.613973,1008.10,
Testing 3,IT3I,103777.727425,1000.41,
Testing 6,IT6I,102996.032701,1008.23,
Testing 8,IT8I,103635.05232,1002.16,
Testing 10,IT10I,103971.822197,997.41,
Testing 12,IT12I,102731.477547,1008.24,
Testing 14,IT14I,101932.566677,1018.89,
Testing 15,IT15I,103758.822096,1007.48,
Testing 18,IT18I,102200.706706,1010.66,
Testing 2,IT2I,103732.378796,1003.86,
Testing 7,IT7I,103258.727137,1005.82,
Testing 11,IT11I,102706.064128,1007.92,
Testing 16,IT16I,103854.936308,1002.15,
Testing 19,IT19I,100868.297422,1009.17,
Testing 5,IT5I,103014.112004,1008.37,
Testing 13,IT13I,103250.088515,1009.15,
Testing 9,IT9I,103439.538805,1005.86,
Testing 17,IT17I,103690.898073,1004.16,
Testing 21,IT21I,101172.411352,1008.98,
Testing 22,IT22I,102940.491823,1032.72,
Testing 23,IT23I,101260.266219,1012.60,
Testing 24,IT24I,102709.660512,1023.70,
Testing 26,IT26I,102454.999627,1032.64,
Testing 27,IT27I,103396.833048,1038.11,
Testing 28,IT28I,102098.799507,1018.83,
Testing 29,IT29I,101097.656434,1010.46,
Testing 30,IT30I,100469.606512,1006.97,
Testing 31,IT31I,102869.877613,1020.67,
Testing 32,IT32I,101278.994749,1011.25,
Testing 33,IT33I,100826.036509,998.40,
Testing 34,IT34I,99406.2606721,994.23,
Testing 35,IT35I,99997.7703184,996.56,
Testing 36,IT36I,97862.1983966,979.63,
Testing 37,IT37I,98792.6144159,988.77,
Testing 38,IT38I,99262.0661979,992.51,
Testing 39,IT39I,98966.1334915,990.38,
Testing 40,IT40I,99383.0763218,992.83,
