Index Name;Security Ticker;Company Ticker;ISIN;Action;Ex Date;Amount;Currency;Further Details;Factor;
Locus Non- US Large Cap Index (PR);SID US Equity;Cia Siderurgica Nacional SA; ;Cash Dividend;2015-01-08;Gross Amt.=.076283;USD;;;
Locus Non- US Large Cap Index (PR);BBD US Equity;Banco Bradesco SA; ;Cash Dividend;2015-01-05;Gross Amt.=.007799;USD;;;
Locus Non- US Large Cap Index (PR);BLND LN Equity;British Land Co PLC/The;GB0001367019;Cash Dividend;2015-01-08;Gross Amt.=6.92;GBp;;;
Locus Non- US Large Cap Index (PR);GAS SM Equity;Gas Natural SDG SA;ES0116870314;Cash Dividend;2015-01-08;Gross Amt.=.397;EUR;;;
Locus Non- US Large Cap Index (PR);ABEV US Equity;Ambev SA; ;Cash Dividend;2015-01-08;Gross Amt.=.035487;USD;;;
Locus Non- US Large Cap Index (PR);CIG US Equity;Cia Energetica de Minas Gerais; ;Cash Dividend;2015-01-06;Gross Amt.=.068126;USD;;;
Locus Non- US Large Cap Index TR;SID US Equity;Cia Siderurgica Nacional SA; ;Cash Dividend;2015-01-08;Gross Amt.=.076283;USD;;;
Locus Non- US Large Cap Index TR;BBD US Equity;Banco Bradesco SA; ;Cash Dividend;2015-01-05;Gross Amt.=.007799;USD;;;
Locus Non- US Large Cap Index TR;BLND LN Equity;British Land Co PLC/The;GB0001367019;Cash Dividend;2015-01-08;Gross Amt.=6.92;GBp;;;
Locus Non- US Large Cap Index TR;GAS SM Equity;Gas Natural SDG SA;ES0116870314;Cash Dividend;2015-01-08;Gross Amt.=.397;EUR;;;
Locus Non- US Large Cap Index TR;ABEV US Equity;Ambev SA; ;Cash Dividend;2015-01-08;Gross Amt.=.035487;USD;;;
Locus Non- US Large Cap Index TR;CIG US Equity;Cia Energetica de Minas Gerais; ;Cash Dividend;2015-01-06;Gross Amt.=.068126;USD;;;
Locus US Mid Cap Index (PR);WGL US Equity;WGL Holdings Inc; ;Cash Dividend;2015-01-07;Gross Amt.=.44;USD;;;
Locus US Mid Cap Index (PR);OGE US Equity;OGE Energy Corp; ;Cash Dividend;2015-01-07;Gross Amt.=.25;USD;;;
Locus US Mid Cap Index (PR);IDCC US Equity;InterDigital Inc/PA; ;Cash Dividend;2015-01-12;Gross Amt.=.20;USD;;;
Locus US Mid Cap Index (PR);GNTX US Equity;Gentex Corp/MI; ;Cash Dividend;2015-01-05;Gross Amt.=.08;USD;;;
