Date,2014-12-24,
Name,Code,Market Value,Index value,
Testing 4,ITI4TR,102804.746387,1038.84,
Testing 20,IT20I,101458.028125,1014.26,
Testing 1,IT1I,102334.352499,1004.25,
Testing 3,IT3I,104217.488522,1004.65,
Testing 6,IT6I,102622.372195,1004.57,
Testing 8,IT8I,103840.742506,1004.15,
Testing 10,IT10I,104772.260975,1005.09,
Testing 12,IT12I,102231.376291,1003.33,
Testing 14,IT14I,100336.860819,1002.94,
Testing 15,IT15I,103584.979305,1005.79,
Testing 18,IT18I,101383.462915,1002.58,
Testing 2,IT2I,103932.887515,1005.81,
Testing 7,IT7I,103146.33966,1004.72,
Testing 11,IT11I,102262.618518,1003.57,
Testing 16,IT16I,104251.939625,1005.98,
Testing 19,IT19I,100353.97293,1004.03,
Testing 5,IT5I,102629.143792,1004.60,
Testing 13,IT13I,102972.384693,1005.83,
Testing 9,IT9I,103285.914589,1004.37,
Testing 17,IT17I,103962.83949,1006.21,
