Date,2014-12-30,
Name,Code,Market Value,Index value,
Testing 4,ITI4TR,103386.659938,1044.72,
Testing 20,IT20I,102994.964573,1029.62,
Testing 1,IT1I,102854.967565,1009.35,
Testing 3,IT3I,104402.307298,1006.43,
Testing 6,IT6I,103137.823557,1009.61,
Testing 8,IT8I,104126.238886,1006.91,
Testing 10,IT10I,104838.291837,1005.72,
Testing 12,IT12I,102783.343001,1008.75,
Testing 14,IT14I,101387.437259,1013.44,
Testing 15,IT15I,104058.411986,1010.39,
Testing 18,IT18I,102116.849596,1009.83,
Testing 2,IT2I,104218.294127,1008.57,
Testing 7,IT7I,103567.73502,1008.83,
Testing 11,IT11I,102781.574947,1008.66,
Testing 16,IT16I,104498.041544,1008.35,
Testing 19,IT19I,100494.165495,1005.43,
Testing 5,IT5I,103155.139698,1009.75,
Testing 13,IT13I,103454.713078,1011.15,
Testing 9,IT9I,103729.502271,1008.68,
Testing 17,IT17I,104291.539007,1009.98,
Testing 21,IT21I,101130.29609,1008.56,
Testing 22,IT22I,100755.181735,1010.80,
Testing 23,IT23I,100107.530817,1001.07,
Testing 24,IT24I,100979.643791,1006.45,
Testing 26,IT26I,101157.302929,1019.56,
Testing 27,IT27I,101402.553364,1018.08,
Testing 28,IT28I,101925.383493,1017.10,
Testing 29,IT29I,101393.857503,1013.42,
Testing 30,IT30I,100763.967489,1009.92,
Testing 31,IT31I,103171.271026,1023.66,
Testing 32,IT32I,101547.280083,1013.93,
Testing 33,IT33I,100796.501086,998.10,
Testing 34,IT34I,99855.9801847,998.73,
Testing 35,IT35I,100999.009942,1006.54,
Testing 36,IT36I,98706.598824,988.08,
Testing 37,IT37I,99525.099949,996.10,
Testing 38,IT38I,100201.510226,1001.91,
Testing 39,IT39I,99541.3121987,996.14,
Testing 40,IT40I,100332.806347,1002.31,
