Date,2014-12-26,
Name,Code,Market Value,Index value,
Testing 4,ITI4TR,103166.935795,1042.50,
Testing 20,IT20I,101397.478185,1013.65,
Testing 1,IT1I,102666.787523,1007.51,
Testing 3,IT3I,104552.376843,1007.88,
Testing 6,IT6I,102957.085065,1007.84,
Testing 8,IT8I,104166.917535,1007.30,
Testing 10,IT10I,105156.052407,1008.77,
Testing 12,IT12I,102545.283434,1006.41,
Testing 14,IT14I,100666.088675,1006.23,
Testing 15,IT15I,103912.80545,1008.97,
Testing 18,IT18I,101864.47872,1007.33,
Testing 2,IT2I,104251.853753,1008.89,
Testing 7,IT7I,103494.480206,1008.11,
Testing 11,IT11I,102589.225816,1006.77,
Testing 16,IT16I,104722.687268,1010.52,
Testing 19,IT19I,100558.761348,1006.08,
Testing 5,IT5I,102964.716182,1007.88,
Testing 13,IT13I,103283.311109,1009.17,
Testing 9,IT9I,103636.847983,1007.78,
Testing 17,IT17I,104451.887103,1011.06,
