Index Name;Security Ticker;Company Ticker;ISIN;Action;Ex Date;Amount;Currency;Further Details;Factor;
Testing 5;SHY US Equity;iShares 1-3 Year Treasury Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.033055;USD;;;
Testing 13;SHY US Equity;iShares 1-3 Year Treasury Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.033055;USD;;;
Testing 13;IEF US Equity;iShares 7-10 Year Treasury Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.155544;USD;;;
Testing 13;LQD US Equity;iShares iBoxx $ Investment Grade Corporate Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.322181;USD;;;
Testing 9;BGC US Equity;General Cable Corp; ;Cash Dividend;2014-12-24;Gross Amt.=.18;USD;;;
Testing 9;LQD US Equity;iShares iBoxx $ Investment Grade Corporate Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.322181;USD;;;
Testing 9;IEF US Equity;iShares 7-10 Year Treasury Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.155544;USD;;;
Testing 9;SHY US Equity;iShares 1-3 Year Treasury Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.033055;USD;;;
Testing 17;BGC US Equity;General Cable Corp; ;Cash Dividend;2014-12-24;Gross Amt.=.18;USD;;;
Testing 17;LQD US Equity;iShares iBoxx $ Investment Grade Corporate Bond ETF; ;Cash Dividend;2014-12-24;Net Amt.=.322181;USD;;;
