Date,2014-12-29,
Name,Code,Market Value,Index value,
Testing 4,ITI4TR,103447.979843,1045.34,
Testing 20,IT20I,102047.242911,1020.15,
Testing 1,IT1I,102928.692975,1010.08,
Testing 3,IT3I,104704.528073,1009.35,
Testing 6,IT6I,103214.001954,1010.36,
Testing 8,IT8I,104323.054549,1008.81,
Testing 10,IT10I,105301.685095,1010.17,
Testing 12,IT12I,102862.552734,1009.52,
Testing 14,IT14I,100976.220291,1009.33,
Testing 15,IT15I,104084.684325,1010.64,
Testing 18,IT18I,102351.913797,1012.15,
Testing 2,IT2I,104410.347915,1010.43,
Testing 7,IT7I,103714.131401,1010.25,
Testing 11,IT11I,102847.437571,1009.31,
Testing 16,IT16I,104876.999265,1012.01,
Testing 19,IT19I,101059.669404,1011.09,
Testing 5,IT5I,103217.700115,1010.36,
Testing 13,IT13I,103443.111115,1011.00,
Testing 9,IT9I,103809.846699,1009.46,
Testing 17,IT17I,104611.235917,1013.04,
Testing 21,IT21I,100701.755874,1004.29,
Testing 22,IT22I,101654.368162,1019.82,
Testing 23,IT23I,100535.044664,1005.35,
Testing 24,IT24I,100516.71026,1001.84,
Testing 26,IT26I,99953.6165153,1007.43,
Testing 27,IT27I,100352.466308,1007.54,
Testing 28,IT28I,100820.620872,1006.07,
Testing 29,IT29I,100934.918767,1008.84,
Testing 30,IT30I,100322.931977,1005.50,
Testing 31,IT31I,102622.570124,1018.21,
Testing 32,IT32I,101412.634746,1012.59,
Testing 33,IT33I,100520.212472,995.37,
Testing 34,IT34I,100148.615959,1001.66,
Testing 35,IT35I,101333.823703,1009.87,
Testing 36,IT36I,100212.491389,1003.15,
Testing 37,IT37I,100144.490628,1002.30,
Testing 38,IT38I,100630.287367,1006.19,
Testing 39,IT39I,100032.126733,1001.05,
Testing 40,IT40I,101015.487785,1009.13,
