ticker,isin,localcurrency,localprice,convertedprice,currencyfactor
"NAB AU Equity",AU000000NAB4,AUD,33.56,27.1652905941,1.235400
"KBC BB Equity",BE0003565737,EUR,46.99,56.3970235238,.833200
"ITSA4 BZ Equity",BRITSAACNPR7,BRL,9.17,3.40360774998,2.694200
"CM CN Equity",CA1360691010,CAD,100.36,85.3038674033,1.176500
"BSAC US Equity",US05965X1090,USD,19.47,19.47,1
"CHILE CI Equity",CLP0939W1081,CLP,70.27,0.114556332632,613.410000
"1398 HK Equity",CNE1000003G1,HKD,5.77,0.743882628987,7.756600
"CIB US Equity",US05968L1026,USD,47.9,47.9,1
"BKIR ID Equity",IE0030606259,EUR,0.32,0.384061449832,.833200
"BMPS IM Equity",IT0004984842,EUR,0.48,0.576092174748,.833200
"8303 JP Equity",JP3729000004,JPY,211,1.75118267076,120.490000
"8591 JP Equity",JP3200450009,JPY,1523.5,12.6442028384,120.490000
"8316 JP Equity",JP3890350006,JPY,4375,36.3100672255,120.490000
"DNB NO Equity",NO0010031479,NOK,111.1,14.633825079,7.592000
"BAP US Equity",BMG2519Y1084,USD,159.35,159.35,1
"UOB SP Equity",SG1M31001969,SGD,24.51,18.4105761286,1.331300
"OCBC SP Equity",SG1S04926220,SGD,10.5,7.88702771727,1.331300
"105560 KS Equity",KR7105560007,KRW,36000,32.6252446893,1103.440000
"055550 KS Equity",KR7055550008,KRW,44500,40.3284274632,1103.440000
"SAN SM Equity",ES0113900J37,EUR,7.03,8.437349976,.833200
"SEBA SS Equity",SE0000148884,SEK,99.3,12.5294941516,7.925300
"2881 TT Equity",TW0002881000,TWD,50.7,1.59569445756,31.773000
"STAN LN Equity",GB0004082847,GBp,962.2,14.7554056126,.652100
"ASB US Equity",US0454871056,USD,18.39,18.39,1
"SNV US Equity",US87161C5013,USD,26.82,26.82,1
"CYN US Equity",US1785661059,USD,79.91,79.91,1
"CFR US Equity",US2298991090,USD,69.72,69.72,1
"HBAN US Equity",US4461501045,USD,10.5,10.5,1
"FITB US Equity",US3167731005,USD,20.21,20.21,1
"CBA AU Equity",AU000000CBA7,AUD,85.74,69.4026226323,1.235400
"TD CN Equity",CA8911605092,CAD,55.2,46.9188270293,1.176500
"BP IM Equity",IT0005002883,EUR,10.3,12.3619779165,.833200
"ISP IM Equity",IT0000072618,EUR,2.45,2.94047047528,.833200
"GFNORTEO MM Equity",MXP370711014,MXN,78.83,5.31063474313,14.843800
"SAB SM Equity",ES0113860A34,EUR,2.31,2.77244359097,.833200
"BKIA SM Equity",ES0113307021,EUR,1.27,1.52424387902,.833200
"SWEDA SS Equity",SE0000242455,SEK,194.5,24.541657729,7.925300
"PFG LN Equity",GB00B1Z4ST84,GBp,2480,38.030976844,.652100
"AF US Equity",US0462651045,USD,13.24,13.24,1
"BXS US Equity",US0596921033,USD,22.25,22.25,1
"WAFD US Equity",US9388241096,USD,21.94,21.94,1
"BOH US Equity",US0625401098,USD,58.54,58.54,1
"TCB US Equity",US8722751026,USD,15.77,15.77,1
"FMER US Equity",US3379151026,USD,18.65,18.65,1
"SLM US Equity",US78442P1066,USD,10.32,10.32,1
"HCBK US Equity",US4436831071,USD,10.13,10.13,1
"COF US Equity",US14040H1059,USD,82.49,82.49,1
"NVN AU Equity",AU000000NVN5,AUD,2.15,1.74032701959,1.235400
"GPT AU Equity",AU000000GPT8,AUD,4.41,3.56969402623,1.235400
"GMG AU Equity",AU000000GMG2,AUD,5.8,4.69483568075,1.235400
"WFD AU Equity",AU000000WFD0,AUD,9.16,7.41460255788,1.235400
"SCG AU Equity",AU000000SCG8,AUD,3.53,2.85737412984,1.235400
"UL NA Equity",FR0000124711,EUR,211.55,253.9006241,.833200
"SGRO LN Equity",GB00B5ZN1N88,GBp,379.8,5.82426008281,.652100
"HMSO LN Equity",GB0004065016,GBp,604,9.26238307008,.652100
"BLND LN Equity",GB0001367019,GBp,762,11.6853243368,.652100
"LAND LN Equity",GB0031809436,GBp,1152,17.6660021469,.652100
"WRI US Equity",US9487411038,USD,35.45,35.45,1
"WPG US Equity",US9396471032,USD,17.42,17.42,1
"EQY US Equity",US2947521009,USD,25.6,25.6,1
"SKT US Equity",US8754651060,USD,37.45,37.45,1
"TCO US Equity",US8766641034,USD,77.92,77.92,1
"NNN US Equity",US6374171063,USD,39.9,39.9,1
"REG US Equity",US7588491032,USD,64.81,64.81,1
"FRT US Equity",US3137472060,USD,135.74,135.74,1
"KIM US Equity",US49446R1095,USD,25.46,25.46,1
"O US Equity",US7561091049,USD,48.62,48.62,1
"MAC US Equity",US5543821012,USD,84.14,84.14,1
"PLD US Equity",US74340W1036,USD,43.43,43.43,1
"GGP US Equity",US3700231034,USD,28.55,28.55,1
"SPG US Equity",US8288061091,USD,185.34,185.34,1
"TRMK US Equity",US8984021027,USD,24.28,24.28,1
"VLY US Equity",US9197941076,USD,9.63,9.63,1
"FULT US Equity",US3602711000,USD,12.33,12.33,1
"WBS US Equity",US9478901096,USD,32.3,32.3,1
"FNFG US Equity",US33582V1089,USD,8.37,8.37,1
"FHN US Equity",US3205171057,USD,13.41,13.41,1
"PB US Equity",US7436061052,USD,54.8,54.8,1
"CBSH US Equity",US2005251036,USD,43.25,43.25,1
"PACW US Equity",US6952631033,USD,45.78,45.78,1
"PBCT US Equity",US7127041058,USD,15.15,15.15,1
"EWBC US Equity",US27579R1041,USD,38.41,38.41,1
"ZION US Equity",US9897011071,USD,28.29,28.29,1
"NYCB US Equity",US6494451031,USD,15.94,15.94,1
"KEY US Equity",US4932671088,USD,13.86,13.86,1
"RF US Equity",US7591EP1005,USD,10.51,10.51,1
"NTRS US Equity",US6658591044,USD,67.55,67.55,1
"MTB US Equity",US55261F1049,USD,125.39,125.39,1
"STI US Equity",US8679141031,USD,41.73,41.73,1
"BBT US Equity",US0549371070,USD,38.65,38.65,1
"AMP AU Equity",AU000000AMP6,AUD,5.56,4.5005666181,1.235400
"POW CN Equity",CA7392391016,CAD,31.72,26.9613259669,1.176500
"MFC CN Equity",CA56501R1064,CAD,22.27,18.9290267743,1.176500
"2628 HK Equity",CNE1000002L3,HKD,31.4,4.04816543331,7.756600
"8750 JP Equity",JP3476480003,JPY,1841,15.2792762885,120.490000
"AGN NA Equity",NL0000303709,EUR,6.19,7.42918867019,.833200
"SLHN VX Equity",CH0014852781,CHF,236.4,236.093078997,1.001300
"2882 TT Equity",TW0002882008,TWD,46.95,1.47766971957,31.773000
"OML LN Equity",GB00B77J0862,GBp,189.8,2.91059653427,.652100
"SL/ LN Equity",GB00B16KPT44,GBp,399.7,6.12942800184,.652100
"PRI US Equity",US74164M1080,USD,53.85,53.85,1
"PL US Equity",US7436741034,USD,69.68,69.68,1
"MET US Equity",US59156R1086,USD,53.91,53.91,1
"ANZ AU Equity",AU000000ANZ3,AUD,32.23,26.0887162053,1.235400
"WBC AU Equity",AU000000WBC1,AUD,33.27,26.9305488101,1.235400
"EBS AV Equity",AT0000652011,EUR,19.93,23.9198271723,.833200
"BBAS3 BZ Equity",BRBBASACNOR3,BRL,22.65,8.40694825922,2.694200
"BBD US Equity",US0594603039,USD,12.82,12.82,1
"ITUB US Equity",US4655621062,USD,12.57,12.57,1
"BNS CN Equity",CA0641491075,CAD,65.62,55.7756056099,1.176500
"UBI IM Equity",IT0003487029,EUR,6.09,7.30916946711,.833200
"ELEKTRA* MM Equity",MX01EL000003,MXN,533.06,35.911289562,14.843800
"CABK SM Equity",ES0140609019,EUR,4.51,5.41286605857,.833200
"SHBA SS Equity",SE0000193120,SEK,366.9,46.2947774848,7.925300
"NDA SS Equity",SE0000427361,SEK,91.1,11.4948330032,7.925300
"2891 TT Equity",TW0002891009,TWD,20.55,0.646775564158,31.773000
"HBHC US Equity",US4101201097,USD,30.47,30.47,1
"USB US Equity",US9029733048,USD,44.83,44.83,1
"AGS BB Equity",BE0974264930,EUR,29.6,35.5256841095,.833200
"SLF CN Equity",CA8667961053,CAD,42.12,35.8011049724,1.176500
"2318 HK Equity",CNE1000003X6,HKD,83.1,10.713456927,7.756600
"CS FP Equity",FR0000120628,EUR,19.1,22.9236677868,.833200
"1299 HK Equity",HK0000069689,HKD,43.95,5.66614238197,7.756600
"G IM Equity",IT0000062072,EUR,17.04,20.4512722036,.833200
"INGA NA Equity",NL0000303600,EUR,10.85,13.0220835334,.833200
"BALN VX Equity",CH0012410517,CHF,127.8,127.634075702,1.001300
"LNC US Equity",US5341871094,USD,57.42,57.42,1
"HIG US Equity",US4165151048,USD,41.79,41.79,1
"AIG US Equity",US0268747849,USD,56.11,56.11,1
"LGEN LN Equity",GB0005603997,GBp,246,3.77242754179,.652100
"PRU LN Equity",GB0007099541,GBp,1491.5,22.872258856,.652100
"GNW US Equity",US37247D1063,USD,8.43,8.43,1
"PFG US Equity",US74251V1026,USD,51.81,51.81,1
"PRU US Equity",US7443201022,USD,90.11,90.11,1
"DXS AU Equity",AU000000DXS1,AUD,7.06,5.71474825967,1.235400
"MGR AU Equity",AU000000MGR9,AUD,1.81,1.46511251417,1.235400
"SGP AU Equity",AU000000SGP0,AUD,4.14,3.35114133074,1.235400
"BAM/A CN Equity",CA1125851040,CAD,59.18,50.3017424564,1.176500
"1 HK Equity",HK0001000014,HKD,131.7,16.979088776,7.756600
"16 HK Equity",HK0016000132,HKD,118.5,15.2773122244,7.756600
"1928 JP Equity",JP3420600003,JPY,1587,13.1712175284,120.490000
"1925 JP Equity",JP3505000004,JPY,2293,19.0306249481,120.490000
"8830 JP Equity",JP3409000001,JPY,4131.5,34.2891526268,120.490000
"8801 JP Equity",JP3893200000,JPY,3255,27.0146900158,120.490000
"8802 JP Equity",JP3899600005,JPY,2555.5,21.2092289817,120.490000
"PSN LN Equity",GB0006825383,GBp,1565,23.9993865971,.652100
"MDC US Equity",US5526761086,USD,26.12,26.12,1
"KBH US Equity",US48666K1097,USD,16.37,16.37,1
"CLI US Equity",US5544891048,USD,19.31,19.31,1
"OFC US Equity",US22002T1088,USD,28.85,28.85,1
"HIW US Equity",US4312841087,USD,44.94,44.94,1
"NVR US Equity",US62944T1051,USD,1251.99,1251.99,1
"LPT US Equity",US5311721048,USD,37.9,37.9,1
"TOL US Equity",US8894781033,USD,34.23,34.23,1
"KRC US Equity",US49427F1084,USD,70.48,70.48,1
"DRE US Equity",US2644115055,USD,20.44,20.44,1
"PHM US Equity",US7458671010,USD,21.26,21.26,1
