ticker,isin,localcurrency,localprice,convertedprice,currencyfactor
"ARTR3 BZ Equity",BRARTRACNOR3,BRL,12.4,4.66586393739,2.657600
"CRUZ3 BZ Equity",BRCRUZACNOR0,BRL,19.32,7.26971703793,2.657600
"ENBR3 BZ Equity",BRENBRACNOR2,BRL,8.97,3.37522576761,2.657600
"TBLE3 BZ Equity",BRTBLEACNOR2,BRL,33.83,12.7295304034,2.657600
"AGUAS/A CI Equity",CL0000000035,CLP,351.31,0.579633387781,606.090000
"ENDESA CI Equity",CLP3710M1090,CLP,921.5,1.52040126054,606.090000
"EXITO CB Equity",COG31PA00010,COP,29200,12.2759223758,2378.640000
"KOMB CP Equity",CZ0008019106,CZK,4740,207.821816906,22.808000
"TELEC CP Equity",CZ0009093209,CZK,233,10.2157137846,22.808000
"AESGENER CI Equity",CL0001880955,CLP,322.55,0.532181689188,606.090000
"ULVR LN Equity",GB00B10RZP78,GBp,2623,40.8249027237,.642500
"BATS LN Equity",GB0002875804,GBp,3490,54.3190661479,.642500
"VOD LN Equity",GB00BH4HKS39,GBp,221.05,3.44046692607,.642500
"BARC LN Equity",GB0031348658,GBp,241.4,3.75719844358,.642500
"SEV FP Equity",FR0010613471,EUR,14.55,17.6878191101,.822600
"ABI BB Equity",BE0003793107,EUR,92.68,112.66715293,.822600
"SIE GR Equity",DE0007236101,EUR,93.75,113.967906637,.822600
"DTE GR Equity",DE0005557508,EUR,13.25,16.1074641381,.822600
"CBK GR Equity",DE000CBK1001,EUR,10.99,13.3600778021,.822600
"HEI GR Equity",DE0006047004,EUR,58.81,71.4928276197,.822600
"SAN SM Equity",ES0113900J37,EUR,7.02,8.53391684902,.822600
"TEF SM Equity",ES0178430E18,EUR,11.88,14.4420131291,.822600
"ABE SM Equity",ES0111845014,EUR,16.34,19.8638463409,.822600
"OHL SM Equity",ES0142090317,EUR,18.6,22.6112326769,.822600
"GSZ FP Equity",FR0010208488,EUR,19.39,23.5716022368,.822600
"GLE FP Equity",FR0000130809,EUR,34.82,42.3292000973,.822600
"ORA FP Equity",FR0000133308,EUR,14.13,17.1772428884,.822600
"CO FP Equity",FR0000125585,EUR,77.26,93.921711646,.822600
"ENEL IM Equity",IT0003128367,EUR,3.7,4.49793338196,.822600
"TIT IM Equity",IT0003497168,EUR,0.88,1.0697787503,.822600
"UCG IM Equity",IT0004781412,EUR,5.34,6.49161196207,.822600
"EDP PL Equity",PTEDP0AM0009,EUR,3.25,3.9508874301,.822600
"728 HK Equity",CNE1000002V2,HKD,4.5,0.580113702286,7.757100
"CEZ CP Equity",CZ0005112300,CZK,591,25.9119607155,22.808000
"857 HK Equity",CNE1000003W8,HKD,8.53,1.09963775122,7.757100
"1398 HK Equity",CNE1000003G1,HKD,5.56,0.716762707713,7.757100
"939 HK Equity",CNE1000002H1,HKD,6.28,0.809580900079,7.757100
"1288 HK Equity",CNE100000Q43,HKD,3.89,0.501476067087,7.757100
"3988 HK Equity",CNE1000001Z5,HKD,4.29,0.553041729512,7.757100
"386 HK Equity",CNE1000002Q2,HKD,6.21,0.800556909154,7.757100
"2628 HK Equity",CNE1000002L3,HKD,29.8,3.84164185069,7.757100
"1088 HK Equity",CNE1000002R0,HKD,22.75,2.93279705044,7.757100
"3968 HK Equity",CNE1000002M1,HKD,19.14,2.46741694705,7.757100
"998 HK Equity",CNE1000001Q4,HKD,6.17,0.795400342912,7.757100
"2601 HK Equity",CNE1000009Q7,HKD,39.3,5.06632633329,7.757100
"2328 HK Equity",CNE100000593,HKD,15.22,1.96207345529,7.757100
"1339 HK Equity",CNE100001MK7,HKD,3.62,0.46666924495,7.757100
"2883 HK Equity",CNE1000002P4,HKD,13.44,1.73260625749,7.757100
"BBAS3 BZ Equity",BRBBASACNOR3,BRL,23.77,8.94416014449,2.657600
"BBSE3 BZ Equity",BRBBSEACNOR5,BRL,32.16,12.1011438892,2.657600
"3328 HK Equity",CNE100000205,HKD,7.09,0.91400136649,7.757100
"1988 HK Equity",CNE100000HF9,HKD,10.08,1.29945469312,7.757100
"902 HK Equity",CNE1000006Z4,HKD,10.28,1.32523752433,7.757100
"FMG AU Equity",AU000000FMG4,AUD,2.75,2.25077754133,1.221800
"1800 HK Equity",CNE1000002F5,HKD,9.41,1.21308220856,7.757100
"1186 HK Equity",CNE100000981,HKD,10.12,1.30461125936,7.757100
"390 HK Equity",CNE1000007Z2,HKD,6.5,0.837942014413,7.757100
"VER AV Equity",AT0000746409,EUR,15.3,18.5995623632,.822600
